time,user_id,username,text,retweets,favorites,tweet_hashtags,location,user_id_str
2020-03-23 23:39:16,276154341,SaucyDesigns1, violent delights violent ends ,0,0,#westworld #westworld #ford #focus #st #focusst #parkinggarage #goldenhour #radi8 #fitment #sony #sonya7ii #saucyphotography,,276154341
2020-03-23 21:07:47,165943889,StickyMoments,california,1,0,#pun #puns #punny #wordplay #stickymoments #comicstrip #doodle #postit #webcomic #ink #inkdrawing #penandink #dailydoodle #gayart #drawathome #porkinggarage #pork #park #parkinggarage #garage,,165943889
2020-03-22 02:59:26,9738422,schnicks,han solo parking  distant socializing,0,0,#parkhaus #tiefgarage #parkinggarage #hansolo #distantsocializing #fatalframes #intotheblue #sepangblue #sepangblau #audi #s7 #sportback #canadablue #audicanada,,9738422
2020-03-22 02:45:19,9738422,schnicks,han solo parking  distant socializing,0,0,#parkhaus #tiefgarage #parkinggarage #hansolo #distantsocializing #fatalframes #intotheblue #sepangblue #sepangblau #audi #s7 #sportback #canadablue #audicanada,,9738422
2020-03-21 18:40:28,42985438,socialsf,refashioned room patients vanderbiltu,0,0,#morningnews #parkinggarage #treatment #covid_19 #medicalcenter #thisisus #emergencypreparedness #coronapocalypse #communityleadership #creativitymatters,san francisco,42985438
2020-03-21 15:12:35,1218613200201175040,Poeticvisions20,thank letting capture beautiful photos first time modeling think pretty good,1,1,#model #parkinggarage #downtownvictoria #beginnermodel #photography,"victoria, tx",1218613200201175040
2020-03-20 19:17:33,2784055164,whodataficionad,cancelled seen worse 1 time insane armstrong new orleans,0,0,#cancelled #spirit #spiritairlines #lasvegas #mccarenairport #louisarmstronginternationalairport #whodat #parkinggarage #bestspot,mississippi city,2784055164
2020-03-20 18:51:28,994320741310107648,StrattonMcCrady, looming storm  portland 2013,0,0,#blue #taillights #parkinggarage #reflections #stormiscoming,"boston, ma",994320741310107648
2020-03-20 11:07:01,53283213,davidmparsons,garage lights massachusetts,1,0,#minimalism #minimalist #urbanminimalism #minimadotcom #quincy #quincyma #newengland #massachusetts #parkinggarage #alohadave #pentax #pentaxian #pentaxk3,"quincy, ma",53283213
2020-03-20 00:53:48,853118907422449664,hongnaxin,galaxy series standard shape market parking garage,0,0,#parkinggarage #parkinglight #garagelight #ledgarage #garageled #galaxy #battenled #triprooflight #aluminum,people's republic of china,853118907422449664
2020-03-19 21:23:09,399803136,VisualParadise9,new release satisfyraps link bio illinois,0,0,#musicvideo #mywayorthehighway #parkinggarage #smileyface #graphitti #videography #visualparadise,"illinois, usa",399803136
2020-03-19 14:30:07,809037571,RetrofitMag,eliminates cave effect,1,3,#parkinggarage #lighting,,809037571
2020-03-18 21:29:01,943618560227557376,ProfNeilH,hear brass player practicing video  george allen field,0,1,#workfromhome #coronavirus #covid_19 #precautions #socialdistancing #university #parkinggarage,"long beach, ca",943618560227557376
2020-03-18 15:50:15,3040932641,HelpMeParker,parking garage joined last month thanks partners light amp breuning install went smoothly thanks involved re excited new partnership,0,0,#customerserviceplatform #customerexperience #theparkerdifference #newclient #parkinggarage,"indianapolis, in",3040932641
2020-03-18 11:14:12,853118907422449664,hongnaxin,stay healthy safe make stronger together,0,0,#led #honlight #ledlighting #ip65 #parkinggarage #parkinglight #garagelight #parkinggarageluminaire #ledluminaire #coronavirus,people's republic of china,853118907422449664
2020-03-15 00:20:23,868614565604376576,paintergoblin,col robert w wynne garthewin henry cousins palette,0,0,#wikidata #digitalart #print #unknown #parkinggarage,"hamilton, ontario",868614565604376576
2020-03-14 21:52:24,69435078,jimontheradio,another way say,0,0,#granadatheatersantabarbara #parkinggarage #whatvirus #coronavirus #dontpanic #washyourhands #washyourhands #donttouchyourface #socialdistancing #quarantine #whatcouldgowrong #whatsnext #alertnotanxious,"santa barbara, ca",69435078
2020-03-13 14:30:20,703254713974681600,EnterpriseSol,going vertical check progress made team works hard roughin slab level 3 new parking garage,0,3,#jobsiteupdate #electrical #electricalcontractor #education #construction #parkinggarage,"nashville, tn",703254713974681600
2020-03-13 08:47:29,921729760081993728,dmaxstudios1,purchase game make money,0,0,#sellmyapp #parking #car #drivingschool #drive #parkinggarage #parkinggames,,921729760081993728
2020-03-12 13:56:40,4233342221,B_D_Specialists,mesh bird barrier installed protect cable tray parking garage pest bird nesting roosting,0,0,#seapoint #capetown #southafrica #birdproblem #parkinggarage #capeofgoodhope #tablemountain #ilovecapetown #solution #specialists #pigeons #starlings #instagood #picoftheday,"cape town, south africa",4233342221
2020-03-11 20:36:40,3300827461,getparkplus,re revenue  report must read even re municipality campus s great info tncs,0,0,#airportparking #parkinggarage #parkingmanagement #tnc #parkingrevenue,"calgary, alberta",3300827461
2020-03-11 15:18:00,1011137034889465857,FocusedByMartin,unauthorized parking,0,2,#parkinggarage #parkinglot #nightphotography #parkinggaragephotography #streetphotography #urbanphotography #sonya6000 #sonyalpha #a6000 #bealpha #mirrorlessphotography,colorado,1011137034889465857
2020-03-11 06:49:45,1107359437,mabel8ble,today 2254pm left inside found missing already know got back fr club like familiar melody came store 4phone,0,0,#phone #locked #car #honoluluclub #parkinggarage #letmeloveyou #ticketout,,1107359437
2020-03-11 04:12:11,58140988,supermanxy,whole universe based rhythms everything happens circles spirals 031020,0,0,#spiral #circle #parkinggarage #parking #building #architecture #mainstreetdistrict #downtowndallas #bigd #dtx #dallas,"new york , ny",58140988
2020-03-10 16:52:02,59505909,GuardianScrty,paint parking garage walls white lighting problem reflective properties enhance illumination,0,0,#protip #guardiansecuritymanagement #parkinggarage #security,"atlanta, ga.      bessemer, al",59505909
2020-03-09 22:42:51,24101348,EmElleWriter,keep dreaming queen mortgage fieldhouse,0,0,#mlauren #themlaurenexperience #cavs #cleveland #selfie #hm #downtowncleveland #bifc #parkinggarage #supportingourqueens #totalpothead,bifc,24101348
2020-03-09 18:20:14,1086948130300616704,supercarsfordad,dark star shines brightest hello,1,4,#supercarsfordad #supercar #supersuv #supercarsofbirmingham #mercedes #mercedesbenz #ml63 #ml63amg #gle63 #gle63amg #amg #v8 #m157 #w166 #carpark #parkinggarage,"birmingham, uk",1086948130300616704
2020-03-09 18:16:35,4257144921,OhioGClub,nothing much shopping around,0,0,#infiniti #g35 #ptsd #pts #ptsdawareness #cartherapy #driving #parking #vehiclewrap #carwrap #macys #parkinggarage #topfloor #dwp4ptsd #driven #volkgts #raysengineering,"columbus, oh",4257144921
2020-03-08 22:18:02,31560030,raydabrowski,indy downtown welcomes indianapolis,0,0,#literally #hotels #parkinggarage #restaurants #one #church #downtown,"longmont, colorado, usa",31560030
2020-03-06 12:59:58,799765698318831616,NephRodby,threaten bodily harm pledged 100 devotion integrity fellow panel members,0,3,#blueribbon #smallbills #parkinggarage,"chicago, il",799765698318831616
2020-03-05 23:18:52,1001881909406978048,WahlenWorks,spring near s time get sand chemicals trash call schedule complete service including sweeping pretreating amp remarking faded lines necessary amp 414 7710884,0,0,#parkinggarage #powerwashing #concretesealing,,1001881909406978048
2020-03-05 17:40:11,462122089,LEnvironments,heard upgrades higher lumen packages new mounting types slightly new look,0,0,#gardco #softview #lightingenvironments #signify #garage #canopy #architecture #parkinggarage #integration #integratedcontrols #comfortoptics,dc / md / va,462122089
2020-03-05 06:54:04,2273921916,chrispack1986,saturday working,1,2,#bts #bts #bellemeade #parkinggarage #greensboro #nc #video #vlog #chrispackphoto #chrispackvideo #photography #videography #cinematography #documentary #youtube #northcarolina,"columbus, ohio",2273921916
2020-03-05 06:50:46,2497583430,kaynemaile,work progress new parking garage columbus ohio convention center looking great glistening morning sun today beauty designed schooley caldwell soon stay tuned,0,1,#parkinggarage #americanarchitecture #schooleycaldwell,new zealand,2497583430
2020-03-05 06:42:36,2273921916,chrispack1986,saturday thejakeayers working,0,1,#bts #bts #bellemeade #parkinggarage #greensboro #nc #video #vlog #chrispackphoto #chrispackvideo #photography #videography #cinematography,"columbus, ohio",2273921916
2020-03-05 00:17:45,208761056,Stigmafighter37,going mass 01420,0,0,#stairway #staircase #parkinggarage #fitchburgma,"westminster, ma",208761056
2020-03-04 17:01:40,486826827,StonhardCanada,check 79500 square foot project recently completed emergency service campus read ,0,2,#ems #emergencyservices #paramedic #police #firehall #parkinggarage #carpark #servicebay #washbay #leed #durable #longevity #environment,canada,486826827
2020-03-04 15:30:30,469358137,VivekVMehra,needs amp security,0,0,#parkinggarage,"chicago, il",469358137
2020-03-04 15:02:29,2410066170,ParqEx,needs amp security,0,0,#parkinggarage,united states,2410066170
2020-03-03 14:10:05,2398081320,MobyparkNL,want know s like renting unused parking space mobypark elisa rented parking space five years experiences share read,0,0,#privateowner #mobypark #parkinggarage #parking,"amsterdam, the netherlands",2398081320
2020-03-02 20:42:28,868614565604376576,paintergoblin,warp making weaving anonymous bodleian library palette,0,0,#wikidata #digitalart #watercolor #unknown #parkinggarage,"hamilton, ontario",868614565604376576
2020-03-02 20:00:21,34279562,FMD_Magazine,parking garage barriers fail prevent sixstory plunge,0,0,#facilitymaintenance #parkinggarage,milwaukee,34279562
2020-03-01 23:59:02,439741013,ChaseVance,go take panos road,0,0,#lincolnroad #parkinggarage #southbeach #sunset #parkinggaragephotography,"miami, fl",439741013
2020-03-01 16:20:38,868614565604376576,paintergoblin,pistill rhaiad r surprizing cataract denbighshire parish wherein takes name cascade j lewis palette,0,0,#wikidata #digitalart #print #unknown #parkinggarage,"hamilton, ontario",868614565604376576
2020-03-01 00:38:23,444218254,BillBloem,korean dramas reflect reality south korea cleanest parking garages world,0,0,#kdrama #parkinggarage,"kalamazoo, mi",444218254
2020-02-29 17:48:51,183851675,cdaley5,video drop,2,2,#picoftheday #photooftheday #photography #music #musicvideo #independentartist #lightroom #instagram #art #videography #videography #facebook #parkinggarage,,183851675
2020-02-29 17:25:03,239528496,cRaphy88,good morning  m  jennifer lopez ft lil wayne  way 2 room lol lol  natural,0,0,#cover #laundry #mood #acapella #jlo #lilwayne #music #imintoyou #parkinggarage #reverb,"california, usa",239528496
2020-02-28 15:44:19,1100438868300611586,MugObsessed,morning downtown columbia,0,1,#jetpackmugs #jetpackmugsandmore #columbia #columbiasc #southcarolina #sc #mugs #mugshot #morning #morningroutine #morningcoffee #morningwalk #morningview #parkinggarage,"south carolina, usa",1100438868300611586
2020-02-28 02:48:06,9738422,schnicks,overexposed  last shots blacked emblems reflectors ,0,0,#tbt #tiefgarage #arcticlight #whitelight #cobaltblue #fatalframes #moodygrams #parkinggarage #deepbluesea #intotheblue #trueblue,,9738422
2020-02-27 22:56:56,726482809011867649,PACEGroupLLCLA,look transformation 2016 looks like,2,3,#throwbackthursday #magazinestreet #parkinggarage #civil #engineers #workinnola #commercial #renovation #civil #stormwatermanagementplan #swmp #aec #teamwork #transformation,"new orleans, la",726482809011867649
2020-02-27 13:40:28,1232460968166404096,B33Rm4,making good decisions morning,0,1,#getfit #stairs #parkinggarage,,1232460968166404096
2020-02-27 00:20:34,868614565604376576,paintergoblin,portrait gabriel huquier jeanbaptiste perronneau department prints drawings louvre palette,2,2,#wikidata #digitalart #drawing #unknown #parkinggarage,"hamilton, ontario",868614565604376576
2020-02-26 19:11:45,2375314754,reiter_rob,vehicle falls three stories via,0,0,#crashesinto #barrier #beverlyconnection #parkinggarage #losangeles #california #storefrontcrash #60timesperday,"colorado springs, co",2375314754
2020-02-26 03:37:36,1232507589105082368,nosteclift,four post car parking liftnostec parking,0,1,#fourpostparkinglift #parkinggarage,hengshui city,1232507589105082368
2020-02-25 16:11:37,1156316946213875713,ledgreenco,led area lighting available,0,0,#ledlighting #parkinglots #parkinggarage #faciltymanagers #ledgreenco,"eatontown, nj",1156316946213875713
2020-02-25 00:58:20,2898714386,callensounds,22820 thank presaving makes gigantic difference link still bio pc,0,0,#spotifyforartists #indiepop #singersongwriteredm #callensounds #sitting #parkinggarage #erinjarvismusic #thesupplier #silverandgold,"nashville, tn",2898714386
